account_manager,client_name,department,PO_id, PO_value ,PO_startdate,job_title,ass_firstname,ass_surname, ass_day_rate ,ass_startdate,ass_enddate,bill_days_1, billed_for_jan ,bill_days_2, billed_for_feb ,bill_days_3, billed_for_mar ,bill_days_4,  billed_for_apr ,bill_days_5,  billed_for_may ,bill_days_6,  billed_for_jun ,bill_days_7,  billed_for_jul ,bill_days_8,   billed_for_aug ,bill_days_9,   billed_for_sept ,bill_days_10,   billed_for_oct ,bill_days_11,   billed_for_nov ,bill_days_12,   billed_for_dec ,all_bill_days, total_billed ,,
Aren,Hamilton,Infrastructure,10001," £100,000 ",01/01/2017,Project Manager,John ,Doe, £500 ,01/01/2017,30/04/2017,15," £7,500 ",2," £1,000 ",22," £11,000 ",14," £7,000 ",, £-   ,, £-   ,, £-   ,, £-   ,, £-   ,, £-   ,, £-   ,, £-   ,53," £26,500 ",,
Aren,Hamilton,Infrastructure,10001," £100,000 ",01/01/2017,Project Manager,,,,,,, £-   ,, £-   ,, £-   ,, £-   ,, £-   ,, £-   ,, £-   ,, £-   ,, £-   ,, £-   ,, £-   ,, £-   ,0, £-   ,,155
Aren,Hamilton,Infrastructure,10002," £150,000 ",05/03/2017,Business Analyst,Jane,Doe, £600 ,05/03/2017,31/05/2017,, £-   ,, £-   ,20," £12,000 ",25," £15,000 ",15," £9,000 ",, £-   ,, £-   ,, £-   ,, £-   ,, £-   ,, £-   ,, £-   ,60," £36,000 ",,
Aren,Hamilton,Infrastructure,10002," £150,000 ",05/03/2017,.NET Developer,Rupert,Murdoch, £400 ,01/04/2017,31/05/2017,, £-   ,, £-   ,, £-   ,10," £4,000 ",15," £6,000 ",, £-   ,, £-   ,, £-   ,, £-   ,, £-   ,, £-   ,, £-   ,25," £10,000 ",,
Aren,Hamilton,Infrastructure,10002," £150,000 ",05/03/2017,Sales Consultant,Charlie,Brown, £500 ,05/04/2017,31/05/2017,, £-   ,, £-   ,, £-   ,15," £7,500 ",2," £1,000 ",, £-   ,, £-   ,, £-   ,, £-   ,, £-   ,, £-   ,, £-   ,17," £8,500 ",,
Aren,Hamilton,Sales,10003," £200,000 ",17/08/2017,Sales Consultant,,,,,,, £-   ,, £-   ,, £-   ,, £-   ,, £-   ,, £-   ,, £-   ,, £-   ,, £-   ,, £-   ,, £-   ,, £-   ,0, £-   ,,
Aren,Hamilton,Sales,10003," £200,000 ",17/08/2017,Agile Specialist,Stephen,Jobs, £250 ,17/08/2017,31/10/2017,, £-   ,, £-   ,, £-   ,, £-   ,, £-   ,, £-   ,, £-   ,15," £3,750 ",8," £2,000 ",13," £3,250 ",, £-   ,, £-   ,36," £9,000 ",,
Aren,Hamilton,Sales,10003," £200,000 ",17/08/2017,Infrastructure Engineer,William,Gates, £450 ,17/08/2017,31/10/2017,, £-   ,, £-   ,, £-   ,, £-   ,, £-   ,, £-   ,, £-   ,2, £900 ,22," £9,900 ",14," £6,300 ",, £-   ,, £-   ,38," £17,100 ",,
Nabs,Satigo,Infrastructure,20001," £100,000 ",01/01/2017,Project Manager,,,,,,, £-   ,, £-   ,, £-   ,, £-   ,, £-   ,, £-   ,, £-   ,, £-   ,, £-   ,, £-   ,, £-   ,, £-   ,0, £-   ,,
Nabs,Satigo,Infrastructure,20002," £150,000 ",05/03/2017,Business Analyst,Julie,Walters, £750 ,05/03/2017,31/07/2017,, £-   ,, £-   ,20," £15,000 ",25," £18,750 ",15," £11,250 ",16," £12,000 ",12," £9,000 ",, £-   ,, £-   ,, £-   ,, £-   ,, £-   ,88," £66,000 ",,
